"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"2113","M. Yumlu",30,"Turkey","Akhisar Belediyespor",71,71,1800000,"Right",190,77,"Turkey"
"2114","D. Nounkeu",32,"Cameroon","Akhisar Belediyespor",71,71,1400000,"Right",183,80,"Turkey"
"2115","João Teixeira",24,"Portugal","GD Chaves",71,75,3100000,"Right",178,72,"Portugal"
"2116","M. Doumbia",23,"Mali","Stade de Reims",71,77,3200000,"Right",170,64,"France"
"2117","A. Diallo",26,"Senegal","Stade Rennais FC",71,75,2100000,"Right",190,82,"France"
"2118","C. Wickham",25,"England","Crystal Palace",71,75,3100000,"Right",190,90,"UK"
"2119","A. Abrashi",28,"Albania","SC Freiburg",71,71,1900000,"Right",173,71,"Germany"
"2120","E. N'Dicka",18,"France","Eintracht Frankfurt",71,83,3400000,"Left",193,80,"Germany"
"2121","Y. Andreu",29,"France","Angers SCO",71,71,1800000,"Right",178,70,"France"
"2122","Z. Erdal",30,"Turkey","Sivasspor",71,71,1700000,"Left",183,73,"Turkey"
"2123","L. Capezzi",23,"Italy","Empoli",71,79,3400000,"Right",178,72,"Italy"
"2124","J. Plašil",36,"Czech Republic","FC Girondins de Bordeaux",71,71,750000,"Right",183,71,"France"
"2125","B. Salamon",27,"Poland","Frosinone",71,72,2200000,"Right",196,89,"Italy"
"2126","R. Coly",22,"Senegal","OGC Nice",71,78,2800000,"Left",185,70,"France"
"2127","Miguel Rodrigues",25,"Portugal","Rio Ave FC",71,74,2500000,"Right",188,76,"Portugal"
"2128","A. Gonçalves",32,"France","RC Strasbourg Alsace",71,71,1800000,"Right",178,79,"France"
"2129","Bruno Alves",36,"Portugal","Parma",71,71,325000,"Right",188,81,"Italy"
"2130","Cucurella",19,"Spain","SD Eibar",71,82,3400000,"Left",173,69,"Spain"
"2131","M. Albornoz",27,"Chile","Hannover 96",71,71,2e+06,"Left",180,80,"Germany"
"2132","A. Nukan",24,"Turkey","RB Leipzig",71,78,2800000,"Left",196,86,"Germany"
"2133","Nélson Monte",22,"Portugal","Rio Ave FC",71,77,2800000,"Right",188,78,"Portugal"
"2134","F. Jensen",20,"Finland","FC Augsburg",71,80,3700000,"Right",183,80,"Germany"
"2135","T. Hubočan",32,"Slovakia","Olympique de Marseille",71,71,1400000,"Right",183,70,"France"
"2136","O. Aina",21,"Nigeria","Torino",71,80,3200000,"Right",183,82,"Italy"
"2137","A. Mina",27,"Ecuador","Yeni Malatyaspor",71,73,2300000,"Right",190,84,"Turkey"
"2138","Jota",25,"Portugal","CD Nacional",71,75,3e+06,"Right",170,70,"Portugal"
"2139","X. Chavalerin",27,"France","Stade de Reims",71,72,2200000,"Left",178,69,"France"
"2140","G. Tzavellas",30,"Greece","Alanyaspor",71,71,1800000,"Left",183,86,"Turkey"
"2141","S. Dimitrievski",24,"FYR Macedonia","Rayo Vallecano",71,77,2400000,"Right",188,81,"Spain"
"2142","N. Mendez-Laing",26,"England","Cardiff City",71,72,2800000,"Right",180,75,"UK"
"2143","M. Gajić",22,"Serbia","FC Girondins de Bordeaux",71,75,2600000,"Right",178,75,"France"
"2144","P. Köpke",22,"Germany","Hertha BSC",71,79,3500000,"Right",178,75,"Germany"
"2145","J. Bednarek",22,"Poland","Southampton",71,80,3200000,"Right",188,77,"UK"
"2146","Alejandro Rodríguez",26,"Spain","Empoli",71,71,2600000,"Right",183,80,"Italy"
"2147","David Ferreiro",30,"Spain","SD Huesca",71,71,2200000,"Right",170,63,"Spain"
"2148","M. Gobbi",37,"Italy","Parma",71,71,270000,"Left",183,76,"Italy"
"2149","Hélder Barbosa",31,"Portugal","Akhisar Belediyespor",71,71,2100000,"Left",173,67,"Turkey"
"2150","P. Oniangué",29,"Congo","Stade Malherbe Caen",71,71,1800000,"Right",190,78,"France"
"2151","F. Balmont",38,"France","Dijon FCO",71,71,750000,"Right",168,72,"France"
"2152","Antoñito",30,"Spain","Real Valladolid CF",71,71,1700000,"Right",175,64,"Spain"
"2153","Nélson Lenho",34,"Portugal","CD Aves",71,71,675000,"Left",178,71,"Portugal"
"2154","Y. Erdoğan",25,"Turkey","Bursaspor",71,72,2800000,"Left",170,68,"Turkey"
"2155","Samu García",28,"Spain","Levante UD",71,71,2400000,"Right",178,73,"Spain"
"2156","S. Klaiber",23,"Netherlands","FC Utrecht",71,74,2500000,"Right",183,76,"Netherlands"
"2157","J. Boga",21,"Ivory Coast","Sassuolo",71,81,3800000,"Right",175,72,"Italy"
"2158","S. Padoin",34,"Italy","Cagliari",71,71,675000,"Right",178,73,"Italy"
"2159","D. Foulquier",25,"France","Getafe CF",71,76,2600000,"Right",183,78,"Spain"
"2160","T. Dingomé",27,"France","Stade de Reims",71,72,2200000,"Left",175,69,"France"
"2161","E. Taşdemir",22,"Turkey","Bursaspor",71,78,2800000,"Left",175,70,"Turkey"
"2162","A. Turan",34,"Turkey","Atiker Konyaspor",71,71,725000,"Right",185,81,"Turkey"
"2163","O. Bayram",26,"Turkey","Galatasaray SK",71,72,2300000,"Left",173,73,"Turkey"
"2164","D. Biraschi",23,"Italy","Genoa",71,78,2800000,"Right",183,72,"Italy"
"2165","I. Latovlevici",32,"Romania","Bursaspor",71,71,1300000,"Left",175,74,"Turkey"
"2166","E. Zelazny",26,"France","Stade Malherbe Caen",71,74,2100000,"Left",185,80,"France"
"2167","M. Pugh",31,"England","Bournemouth",71,71,2100000,"Right",180,72,"UK"
"2168","S. McTominay",21,"Scotland","Manchester United",71,81,3800000,"Right",193,88,"UK"
"2169","M. Le Bihan",28,"France","OGC Nice",71,71,2400000,"Right",183,80,"France"
"2170","A. Leya Iseka",20,"Belgium","Toulouse Football Club",71,78,3400000,"Right",183,82,"France"
"2171","C. Gülselam",30,"Turkey","Alanyaspor",71,71,1800000,"Right",193,88,"Turkey"
"2172","B. Kamara",21,"France","RC Strasbourg Alsace",71,77,2400000,"Right",193,84,"France"
"2173","L. Bruins",31,"Netherlands","Excelsior",71,71,2100000,"Right",180,75,"Netherlands"
"2174","N. Kebano",26,"DR Congo","Fulham",71,72,2800000,"Right",170,65,"UK"
"2175","Javi Moyano",32,"Spain","Real Valladolid CF",71,71,1300000,"Right",180,73,"Spain"
"2176","M. Büchel",27,"Liechtenstein","Empoli",71,71,2400000,"Left",175,71,"Italy"
"2177","Manu Morlanes",19,"Spain","Villarreal CF",71,83,4100000,"Right",178,75,"Spain"
"2178","P. Faragò",25,"Italy","Cagliari",71,73,2900000,"Right",188,80,"Italy"
"2179","I. Bennacer",20,"Algeria","Empoli",71,82,4e+06,"Left",173,64,"Italy"
"2180","Alex Alegría",25,"Spain","Rayo Vallecano",71,74,3e+06,"Right",188,82,"Spain"
"2181","C. Adjapong",20,"Italy","Sassuolo",71,81,3800000,"Right",180,74,"Italy"
"2182","Dorado",35,"Spain","Rayo Vallecano",71,71,550000,"Left",180,70,"Spain"
"2183","B. Özcan",20,"Turkey","VfB Stuttgart",71,78,3400000,"Right",180,79,"Germany"
"2184","A. Calabresi",22,"Italy","Bologna",71,79,3e+06,"Right",185,75,"Italy"
"2185","J. Léa Siliki",22,"France","Stade Rennais FC",71,81,3800000,"Left",183,70,"France"
"2186","D. Avdijaj",21,"Kosovo","Willem II",71,78,3400000,"Right",173,70,"Netherlands"
"2187","Lisandro Semedo",22,"Portugal","Fortuna Sittard",71,77,3200000,"Right",175,74,"Netherlands"
"2188","J. Prior",22,"France","FC Girondins de Bordeaux",71,77,2400000,"Right",188,86,"France"
"2189","Stephen Eustáquio",21,"Portugal","GD Chaves",71,83,3800000,"Right",178,68,"Portugal"
"2190","B. Drągowski",20,"Poland","Fiorentina",71,82,3200000,"Right",188,74,"Italy"
"2191","G. Mancini",22,"Italy","Atalanta",71,80,3200000,"Right",190,77,"Italy"
"2192","M. Guendouzi",19,"France","Arsenal",71,84,4e+06,"Right",185,68,"UK"
"2193","K. Peterson",23,"Sweden","Heracles Almelo",71,77,3200000,"Right",185,79,"Netherlands"
"2194","S. Lammers",21,"Netherlands","SC Heerenveen",71,80,3700000,"Left",188,77,"Netherlands"
"2195","A. King",29,"Wales","Leicester City",71,71,2300000,"Right",183,79,"UK"
"2196","P. Mwene",24,"Austria","1. FSV Mainz 05",71,78,2800000,"Right",173,68,"Germany"
"2197","Andrei Girotto",26,"Brazil","FC Nantes",71,73,2400000,"Right",185,79,"France"
"2198","Ukra",30,"Portugal","Santa Clara",71,71,2200000,"Right",175,74,"Portugal"
"2199","N. Foor",26,"Netherlands","Vitesse",71,73,2800000,"Left",173,66,"Netherlands"
"2200","Ângelo Neto",26,"Brazil","Moreirense FC",71,71,2500000,"Right",180,75,"Portugal"
"2201","I. Provedel",24,"Italy","Empoli",71,77,2400000,"Right",193,84,"Italy"
"2202","Bremer",21,"Brazil","Torino",71,80,3200000,"Right",183,80,"Italy"
"2203","Defendi",32,"Brazil","CD Aves",71,71,1400000,"Left",190,83,"Portugal"
"2204","M. Martin",30,"France","Stade de Reims",71,71,2200000,"Right",170,68,"France"
"2205","S. Doukara",26,"France","Antalyaspor",71,72,2800000,"Right",185,85,"Turkey"
"2206","O. Zinchenko",21,"Ukraine","Manchester City",71,81,3300000,"Left",175,64,"UK"
"2207","M. Jevtovic",24,"Serbia","Atiker Konyaspor",71,76,2700000,"Right",193,82,"Turkey"
"2208","Xavier",25,"Portugal","CD Tondela",71,72,2800000,"Left",175,66,"Portugal"
"2209","B. Rienstra",28,"Netherlands","SC Heerenveen",71,71,2400000,"Right",183,67,"Netherlands"
"2210","M. te Wierik",26,"Netherlands","FC Groningen",71,74,2500000,"Right",190,73,"Netherlands"
"2211","J. Callsen-Bracker",33,"Germany","FC Augsburg",71,71,950000,"Right",188,84,"Germany"
"2212","M. Çelik",21,"Turkey","LOSC Lille",71,83,3700000,"Right",180,78,"France"
"2213","O. Rashid",26,"Iraq","Santa Clara",71,74,2900000,"Right",175,67,"Portugal"
"2214","O. Haddadi",26,"Tunisia","Dijon FCO",71,74,2400000,"Left",183,85,"France"
"2215","Flávio",24,"Brazil","CD Feirense",71,76,2700000,"Right",190,86,"Portugal"
"2216","Fábio",27,"Brazil","FC Nantes",71,71,2e+06,"Right",173,65,"France"
"2217","Patrick",27,"Brazil","Santa Clara",71,72,2200000,"Right",173,76,"Portugal"
"2218","L. Krajnc",23,"Slovenia","Frosinone",71,75,2600000,"Left",188,86,"Italy"
"2219","P. Terracciano",28,"Italy","Empoli",71,72,1900000,"Right",193,78,"Italy"
"2220","K. Sema",24,"Sweden","Watford",71,73,2900000,"Left",180,69,"UK"
"2221","A. Maitland-Niles",20,"England","Arsenal",71,84,4500000,"Right",178,71,"UK"
"2222","Marco Rocha",31,"Portugal","Santa Clara",71,71,1400000,"Right",183,83,"Portugal"
"2223","Cristian López",29,"Spain","Angers SCO",71,71,2400000,"Right",185,80,"France"
"2224","R. Beerens",30,"Netherlands","Vitesse",71,71,2200000,"Right",173,63,"Netherlands"
"2225","B. Róchez",23,"Honduras","CD Nacional",71,76,3200000,"Right",183,81,"Portugal"
"2226","Crivellaro",29,"Brazil","CD Feirense",71,71,2300000,"Left",183,78,"Portugal"
"2227","L. Lollo",27,"Italy","Empoli",71,71,2400000,"Right",180,75,"Italy"
"2228","N. Sarenren Bazee",21,"Nigeria","Hannover 96",70,78,2600000,"Right",183,70,"Germany"
"2229","O. Adın",32,"Turkey","Antalyaspor",70,70,1400000,"Left",175,75,"Turkey"
"2230","K. Çörekçi",26,"Turkey","Trabzonspor",70,72,1800000,"Right",173,74,"Turkey"
"2231","J. Murphy",23,"England","Cardiff City",70,77,2500000,"Right",173,67,"UK"
"2232","R. Gagliolo",28,"Italy","Parma",70,70,1400000,"Left",180,75,"Italy"
"2233","D. Solanke",20,"England","Liverpool",70,84,3900000,"Right",188,80,"UK"
"2234","F. Veseli",25,"Albania","Empoli",70,74,1900000,"Right",183,80,"Italy"
"2235","Filipe Chaby",24,"Portugal","Os Belenenses",70,76,2400000,"Left",175,64,"Portugal"
"2236","Santi Comesaña",21,"Spain","Rayo Vallecano",70,76,2400000,"Right",183,73,"Spain"
"2237","Luís Machado",25,"Portugal","CD Feirense",70,71,2100000,"Right",168,62,"Portugal"
"2238","D. Geiger",20,"Germany","TSG 1899 Hoffenheim",70,84,3900000,"Right",173,65,"Germany"
"2239","F. Bradarić",26,"Croatia","Cagliari",70,74,1900000,"Right",185,77,"Italy"
"2240","F. Zampano",24,"Italy","Frosinone",70,74,1900000,"Right",178,74,"Italy"
"2241","Wilson Manafá",23,"Portugal","Portimonense SC",70,75,2e+06,"Right",175,69,"Portugal"
"2242","João Lucas",22,"Portugal","Santa Clara",70,74,1900000,"Left",180,66,"Portugal"
"2243","H. Mendyl",20,"Morocco","FC Schalke 04",70,83,3e+06,"Left",178,73,"Germany"
"2244","M. Thorsby",22,"Norway","SC Heerenveen",70,76,2400000,"Right",185,72,"Netherlands"
"2245","C. Ganea",26,"Romania","Athletic Club de Bilbao",70,73,1800000,"Left",175,73,"Spain"
"2246","Braga",35,"Portugal","CD Aves",70,70,750000,"Right",180,75,"Portugal"
"2247","Edson Farias",26,"Brazil","CD Feirense",70,71,2100000,"Right",175,67,"Portugal"
"2248","Lucas Possignolo",24,"Brazil","Portimonense SC",70,77,2100000,"Right",185,79,"Portugal"
"2249","G. Makaridze",28,"Georgia","Rio Ave FC",70,70,1200000,"Right",190,85,"Portugal"
"2250","O. Kemen",21,"France","Olympique Lyonnais",70,79,2700000,"Right",178,78,"France"
"2251","E. Falkenburg",30,"Netherlands","ADO Den Haag",70,70,1700000,"Right",188,84,"Netherlands"
"2252","S. Vergini",29,"Argentina","Bursaspor",70,70,1400000,"Right",190,83,"Turkey"
"2253","J. Bokila",29,"DR Congo","Akhisar Belediyespor",70,70,1800000,"Left",188,81,"Turkey"
"2254","R. Nelson",18,"England","TSG 1899 Hoffenheim",70,85,3700000,"Right",175,71,"Germany"
"2255","Iago",26,"Brazil","Moreirense FC",70,74,1900000,"Right",188,83,"Portugal"
"2256","C. Janker",33,"Germany","FC Augsburg",70,70,725000,"Right",185,78,"Germany"
"2257","Akapo",25,"Equatorial Guinea","SD Huesca",70,75,2e+06,"Right",178,76,"Spain"
"2258","P. Hatzidiakos",21,"Greece","AZ Alkmaar",70,78,2300000,"Right",180,74,"Netherlands"
"2259","J. Makengo",20,"France","OGC Nice",70,80,2800000,"Left",178,75,"France"
"2260","L. Castaignos",25,"Netherlands","Sporting CP",70,73,2300000,"Right",188,78,"Portugal"
"2261","Y. Kobayashi",26,"Japan","SC Heerenveen",70,72,2100000,"Left",183,72,"Netherlands"
"2262","M. Bero",22,"Slovakia","Vitesse",70,78,2600000,"Right",183,83,"Netherlands"
"2263","M. Targett",22,"England","Southampton",70,79,2300000,"Left",183,70,"UK"
"2264","R. Dwamena",22,"Ghana","Levante UD",70,79,2800000,"Left",185,81,"Spain"
"2265","Bruno Nascimento",27,"Brazil","CD Feirense",70,72,1700000,"Right",188,82,"Portugal"
"2266","O. Okwonkwo",20,"Nigeria","Bologna",70,85,3900000,"Right",180,72,"Italy"
"2267","N. Mihajlović",22,"Serbia","SC Heerenveen",70,76,2400000,"Right",173,71,"Netherlands"
"2268","P. Sagna",27,"Senegal","Os Belenenses",70,70,1500000,"Right",183,76,"Portugal"
"2269","I. El Adoua",31,"Morocco","CD Aves",70,70,1200000,"Right",188,79,"Portugal"
"2270","E. Rolón",23,"Argentina","Genoa",70,76,2100000,"Right",178,74,"Italy"
"2271","B. Aouacheria",24,"France","Moreirense FC",70,75,2400000,"Right",183,74,"Portugal"
"2272","L. Thy",26,"Germany","BB Erzurumspor",70,73,2200000,"Right",183,78,"Turkey"
"2273","C. Dessers",23,"Belgium","FC Utrecht",70,75,2400000,"Right",185,80,"Netherlands"
"2274","A. Kara",25,"Turkey","Bursaspor",70,73,2200000,"Right",185,84,"Turkey"
"2275","Jefferson Santos",25,"Brazil","GD Chaves",70,71,1800000,"Right",193,85,"Portugal"
"2276","A. Seculin",27,"Italy","Chievo Verona",70,71,1400000,"Right",190,80,"Italy"
"2277","M. Gori",25,"Italy","Frosinone",70,72,2100000,"Left",178,76,"Italy"
"2278","N. Paz",26,"Argentina","Bologna",70,75,2e+06,"Left",193,89,"Italy"
"2279","K. Coulibaly",26,"Mali","FC Nantes",70,70,1900000,"Right",198,87,"France"
"2280","I. Dia",31,"Senegal","Yeni Malatyaspor",70,70,1600000,"Right",173,70,"Turkey"
"2281","M. Mittelstädt",21,"Germany","Hertha BSC",70,81,2700000,"Left",178,69,"Germany"
"2282","M. Romero",19,"Argentina","PSV",70,85,3800000,"Right",178,72,"Netherlands"
"2283","T. Bruns",26,"Netherlands","Vitesse",70,73,2200000,"Right",178,72,"Netherlands"
"2284","Kangin Lee",17,"Korea Republic","Valencia CF",70,88,3500000,"Left",173,61,"Spain"
"2285","V. van Crooij",22,"Netherlands","PEC Zwolle",70,76,2400000,"Left",178,70,"Netherlands"
"2286","M. D'Alessandro",27,"Italy","Udinese",70,70,1900000,"Right",173,65,"Italy"
"2287","N. Obiora",26,"Nigeria","Boavista FC",70,71,1700000,"Right",188,89,"Portugal"
"2288","Ricardo Ferreira",28,"Portugal","Portimonense SC",70,71,1400000,"Right",188,82,"Portugal"
"2289","Javi Guerra",36,"Spain","Rayo Vallecano",70,70,625000,"Right",178,76,"Spain"
"2290","R. Maiello",26,"Italy","Frosinone",70,71,2100000,"Right",178,73,"Italy"
"2291","Jordi Mboula",19,"Spain","AS Monaco",70,85,3800000,"Right",183,74,"France"
"2292","J. Sambia",21,"France","Montpellier HSC",70,78,2600000,"Right",185,73,"France"
"2293","L. Ajorque",24,"France","RC Strasbourg Alsace",70,75,2400000,"Left",196,82,"France"
"2294","R. Nissen Kristensen",20,"Denmark","Ajax",70,79,2400000,"Right",185,70,"Netherlands"
"2295","M. Kone",28,"Ivory Coast","BB Erzurumspor",70,70,1800000,"Right",180,71,"Turkey"
"2296","M. Varnier",20,"Italy","Atalanta",70,85,3500000,"Right",185,82,"Italy"
"2297","Nenê",34,"Brazil","Moreirense FC",70,70,925000,"Right",183,78,"Portugal"
"2298","D. Dessena",31,"Italy","Cagliari",70,70,1500000,"Right",183,75,"Italy"
"2299","G. Maniatis",31,"Greece","Alanyaspor",70,70,1200000,"Right",175,68,"Turkey"
"2300","M. Olivera",26,"Uruguay","Fiorentina",70,73,1800000,"Left",180,72,"Italy"
"2301","R. Kurzawa",25,"Poland","Amiens SC",70,73,2200000,"Left",183,73,"France"
"2302","K. Dowell",20,"England","Everton",70,83,3400000,"Left",185,80,"UK"
"2303","A. Balić",20,"Croatia","Udinese",70,77,2500000,"Right",180,70,"Italy"
"2304","C. Hudson-Odoi",17,"England","Chelsea",70,87,3500000,"Right",178,75,"UK"
"2305","Mauro Júnior",19,"Brazil","PSV",70,82,3100000,"Left",170,62,"Netherlands"
"2306","B. Nieuwkoop",22,"Netherlands","Feyenoord",70,75,2e+06,"Right",180,72,"Netherlands"
"2307","A. Paločević",24,"Serbia","CD Nacional",70,75,2300000,"Right",180,66,"Portugal"
"2308","A. Bouka Moutou",29,"Congo","Dijon FCO",70,70,1300000,"Left",175,76,"France"
"2309","I. Saadi",26,"Algeria","RC Strasbourg Alsace",70,71,2100000,"Right",180,85,"France"
"2310","L. Tomlin",29,"England","Cardiff City",70,70,1700000,"Right",180,74,"UK"
"2311","Marc Cardona",22,"Spain","SD Eibar",70,79,2800000,"Right",183,68,"Spain"
"2312","R. Boffin",30,"Belgium","Antalyaspor",70,70,1100000,"Right",196,86,"Turkey"
"2313","T. Tawatha",26,"Israel","Eintracht Frankfurt",70,70,1500000,"Left",173,70,"Germany"
"2314","Bruno Moreira",30,"Portugal","Rio Ave FC",70,70,1700000,"Right",185,79,"Portugal"
"2315","F. Ayité",29,"Togo","Fulham",70,70,1700000,"Right",175,74,"UK"
"2316","Vítor Gonçalves",26,"Portugal","CD Nacional",70,71,2100000,"Right",173,69,"Portugal"
"2317","Matheus Cunha",19,"Brazil","RB Leipzig",70,85,3800000,"Right",183,75,"Germany"
"2318","G. Kerk",22,"Netherlands","FC Utrecht",70,75,2400000,"Right",175,68,"Netherlands"
"2319","J. Bacuna",20,"Netherlands","Huddersfield Town",70,77,2500000,"Right",178,74,"UK"
"2320","S. Luperto",21,"Italy","Napoli",70,80,2500000,"Left",190,75,"Italy"
"2321","J. Williams",24,"Wales","Crystal Palace",70,74,2300000,"Right",168,60,"UK"
"2322","Philipe Sampaio",23,"Brazil","CD Feirense",70,77,2100000,"Right",190,83,"Portugal"
"2323","M. Pajač",25,"Croatia","Cagliari",70,72,2200000,"Left",185,69,"Italy"
"2324","Derley",30,"Brazil","CD Aves",70,70,1700000,"Right",183,76,"Portugal"
"2325","M. Donald",29,"Netherlands","Yeni Malatyaspor",70,70,1700000,"Right",183,75,"Turkey"
"2326","A. Sissoko",28,"Mali","Akhisar Belediyespor",70,70,1400000,"Left",183,75,"Turkey"
"2327","C. Traoré",23,"France","En Avant de Guingamp",70,78,2200000,"Right",175,72,"France"
"2328","D. Aleksić",27,"Serbia","Yeni Malatyaspor",70,71,2e+06,"Left",183,75,"Turkey"
"2329","J. Murillo",22,"Venezuela","CD Tondela",70,79,2700000,"Right",170,66,"Portugal"
"2330","M. Yıldırım",27,"Turkey","Kayserispor",70,72,1400000,"Left",190,81,"Turkey"
"2331","K. Ehizibue",23,"Netherlands","PEC Zwolle",70,75,2e+06,"Right",188,82,"Netherlands"
"2332","D. Larsson",31,"Sweden","Akhisar Belediyespor",70,70,1600000,"Right",175,79,"Turkey"
"2333","M. Seuntjens",26,"Netherlands","AZ Alkmaar",70,72,2100000,"Right",188,81,"Netherlands"
"2334","C. Yambéré",27,"Central African Rep.","Dijon FCO",70,72,1700000,"Right",190,84,"France"
"2335","O. Dramé",25,"France","Os Belenenses",70,71,2100000,"Right",175,70,"Portugal"
"2336","F. Diabaté",22,"Mali","Leicester City",70,78,2600000,"Left",175,60,"UK"
"2337","K. N'Doram",22,"France","AS Monaco",70,79,2400000,"Right",185,77,"France"
"2338","J. Torunarigha",20,"Germany","Hertha BSC",70,81,2700000,"Left",188,77,"Germany"
"2339","E. Imorou",29,"Benin","Stade Malherbe Caen",70,70,1300000,"Left",180,78,"France"
"2340","Tiago Lopes",29,"Portugal","Kayserispor",70,70,1300000,"Right",180,66,"Turkey"
"2341","Diogo Viana",28,"Portugal","Os Belenenses",70,70,1400000,"Right",175,67,"Portugal"
"2342","J. Reine-Adélaïde",20,"France","Angers SCO",70,82,3200000,"Right",183,75,"France"
"2343","L. Mchedlidze",28,"Georgia","Empoli",70,70,1800000,"Left",193,87,"Italy"
"2344","K. Danso",19,"Austria","FC Augsburg",70,80,2400000,"Right",190,89,"Germany"
"2345","T. Asano",23,"Japan","Hannover 96",70,75,2400000,"Right",173,71,"Germany"
"2346","K. Günter",23,"Germany","Genoa",70,75,2e+06,"Right",183,79,"Italy"
"2347","Anuar",23,"Morocco","Real Valladolid CF",70,77,2100000,"Right",173,63,"Spain"
"2348","Sastre",32,"Spain","SD Huesca",70,70,1300000,"Right",175,71,"Spain"
"2349","E. Ávila",24,"Argentina","SD Huesca",70,77,2500000,"Left",173,81,"Spain"
"2350","Y. Ngbakoto",26,"DR Congo","En Avant de Guingamp",70,71,2100000,"Right",173,69,"France"
"2351","A. Werner",22,"Argentina","SD Huesca",70,78,2e+06,"Right",193,85,"Spain"
"2352","Christian Rivera",20,"Spain","SD Huesca",70,79,2400000,"Right",190,87,"Spain"
"2353","E. Korkmaz",35,"Turkey","BB Erzurumspor",70,70,425000,"Left",183,83,"Turkey"
"2354","L. Mousset",22,"France","Bournemouth",70,75,2400000,"Right",183,80,"UK"
"2355","M. Bodmer",35,"France","Amiens SC",70,70,750000,"Right",190,90,"France"
"2356","J. Dilrosun",20,"Netherlands","Hertha BSC",70,86,3900000,"Left",175,67,"Germany"
"2357","A. Kali",27,"Morocco","NAC Breda",70,71,1700000,"Left",173,67,"Netherlands"
"2358","D. Milošević",23,"Bosnia Herzegovina","Atiker Konyaspor",70,75,2400000,"Right",183,73,"Turkey"
"2359","J. Minala",21,"Cameroon","Lazio",70,76,2400000,"Right",183,84,"Italy"
"2360","S. Çinaz",32,"Germany","Kayserispor",70,70,1e+06,"Right",188,77,"Turkey"
"2361","A. Turan",26,"Turkey","Kayserispor",70,72,1800000,"Left",175,79,"Turkey"
"2362","S. Dursun",26,"Turkey","Antalyaspor",70,72,1800000,"Right",188,79,"Turkey"
"2363","C. Leemans",22,"Netherlands","PEC Zwolle",70,75,2300000,"Left",188,79,"Netherlands"
"2364","Murilo Freitas",22,"Brazil","Rio Ave FC",70,80,2900000,"Left",175,66,"Portugal"
"2365","R. Del Castillo",22,"France","Stade Rennais FC",70,77,2500000,"Left",173,60,"France"
"2366","M. Diaby",18,"France","Paris Saint-Germain",70,85,3700000,"Left",170,65,"France"
"2367","P. Schuurs",18,"Netherlands","Ajax",70,82,2600000,"Right",193,79,"Netherlands"
"2368","K. Sigþórsson",28,"Iceland","FC Nantes",70,70,1800000,"Right",188,87,"France"
"2369","T. Mings",25,"England","Bournemouth",70,72,1800000,"Left",196,77,"UK"
"2370","Borja Fernández",37,"Spain","Real Valladolid CF",70,70,240000,"Right",188,82,"Spain"
"2371","P. Souaré",28,"Senegal","Crystal Palace",70,70,1400000,"Left",178,66,"UK"
"2372","F. Giefer",28,"Germany","FC Augsburg",70,71,1400000,"Right",196,93,"Germany"
"2373","David Costas",23,"Spain","RC Celta",70,75,2e+06,"Right",183,72,"Spain"
"2374","Fábio Sturgeon",24,"Portugal","CD Feirense",70,74,2300000,"Right",183,69,"Portugal"
"2375","M. Terrazzino",27,"Germany","SC Freiburg",70,70,1900000,"Right",178,77,"Germany"
"2376","A. Ferrari",24,"Italy","Sampdoria",70,75,2e+06,"Right",183,70,"Italy"
"2377","Aleix García",21,"Spain","Girona FC",70,82,3100000,"Right",173,68,"Spain"
"2378","Platiny",27,"Brazil","GD Chaves",70,70,1900000,"Right",178,64,"Portugal"
"2379","D. Petrić",30,"Serbia","En Avant de Guingamp",70,70,1100000,"Right",185,80,"France"
"2380","A. Meijers",30,"Netherlands","ADO Den Haag",70,70,1300000,"Left",175,77,"Netherlands"
"2381","Kalindi",24,"Brazil","CD Nacional",70,74,1900000,"Right",170,62,"Portugal"
"2382","L. Kübler",25,"Germany","SC Freiburg",70,72,1800000,"Right",183,73,"Germany"
"2383","A. Cissokho",30,"France","Antalyaspor",70,70,1300000,"Left",180,79,"Turkey"
"2384","I. Bel Hassani",25,"Morocco","AZ Alkmaar",70,72,2200000,"Left",175,72,"Netherlands"
"2385","André Santos",29,"Portugal","Os Belenenses",70,70,1700000,"Right",180,73,"Portugal"
"2386","Cotán",22,"Spain","Real Valladolid CF",70,78,2300000,"Right",175,67,"Spain"
"2387","T. Malacia",18,"Netherlands","Feyenoord",70,80,2200000,"Left",170,67,"Netherlands"
"2388","C. Eiting",20,"Netherlands","Ajax",70,79,2700000,"Left",178,76,"Netherlands"
"2389","Rodrigo",25,"Brazil","CD Aves",70,74,1900000,"Right",175,71,"Portugal"
"2390","Rogério",20,"Brazil","Sassuolo",70,85,3900000,"Left",178,70,"Italy"
"2391","Vítor Bruno",28,"Portugal","CD Feirense",70,70,1400000,"Left",170,65,"Portugal"
"2392","Sergi Palencia",22,"Spain","FC Girondins de Bordeaux",70,78,2200000,"Right",170,66,"France"
"2393","Pol Llonch",25,"Spain","Willem II",70,73,1900000,"Right",170,70,"Netherlands"
"2394","A. Sørloth",22,"Norway","Crystal Palace",70,76,2500000,"Left",193,90,"UK"
"2395","M. Cassierra",21,"Colombia","FC Groningen",70,78,2700000,"Right",183,77,"Netherlands"
